flr/usdt,eth/usdt,btc/usdt,timestamp
0.0165134,2186.781,86013.4,1741494340
0.0165154,2187.047,86013.4,1741494342
0.0165174,2186.78,86013.4,1741494388
0.0165194,2186.513,86002.9,1741494394
0.0165214,2186.246,85992.4,1741494402
0.0165254,2185.712,85971.4,1741494408
0.0165274,2185.445,85960.9,1741494410
0.0165314,2185.178,85971.39,1741494424
0.0165334,2185.178,85971.39,1741494446
0.0165354,2185.178,85971.39,1741494448
0.0165374,2185.444,85981.88,1741494451
0.0165394,2185.444,85992.37,1741494459
0.0165434,2185.444,86013.35,1741494463
0.0165454,2185.444,86013.35,1741494465
0.0165474,2185.444,86002.85,1741494476
0.0165494,2185.71,86002.85,1741494478
0.0165534,2185.976,86002.85,1741494482
0.0165554,2185.976,86013.34,1741494489
0.0165594,2185.976,86013.34,1741494495
0.0165614,2185.976,86002.84,1741494499
0.0165634,2185.976,86002.84,1741494501
0.0165654,2186.242,86013.33,1741494505
0.0165674,2186.508,86023.82,1741494507
0.0165694,2186.508,86034.32,1741494536
0.0165714,2186.508,86034.32,1741494538
0.0165734,2186.508,86034.32,1741494540
0.0165754,2186.508,86034.32,1741494542
0.0165733,2186.774,86034.32,1741494570
0.0165712,2186.507,86034.32,1741494574
0.0165691,2186.507,86034.32,1741494576
0.016567,2186.773,86034.32,1741494590
0.0165649,2186.773,86034.32,1741494596
0.0165628,2186.773,86034.32,1741494600
0.0165648,2186.506,86023.81,1741494624
0.0165668,2186.239,86013.31,1741494626
0.0165688,2185.972,86013.31,1741494628
0.0165708,2185.705,86002.81,1741494653
0.0165728,2185.438,85992.31,1741494659
0.0165748,2185.171,85981.81,1741494665
0.0165768,2184.904,85971.31,1741494671
0.0165788,2184.637,85971.31,1741494673
0.0165746,2184.103,85960.81,1741494695
0.0165725,2183.836,85971.3,1741494697
0.0165725,2184.102,85981.79,1741494723
0.0165704,2184.634,86002.77,1741494727
0.0165704,2184.9,86013.26,1741494729
0.0165704,2185.166,86023.75,1741494746
0.0165724,2185.432,86034.25,1741494748
0.0165744,2185.698,86044.75,1741494750
0.0165723,2185.431,86034.24,1741494769
0.0165702,2185.164,86023.73,1741494771
0.0165702,2184.897,86013.23,1741494777
0.0165722,2184.363,85992.23,1741494781
0.016568,2184.895,86002.72,1741494806
0.0165638,2184.894,86002.72,1741494810
0.0165658,2184.894,86023.7,1741494842
0.0165616,2185.16,86034.19,1741494848
0.0165636,2185.426,86044.69,1741494883
